Borough,dog_count,Population,dogs_per_1000,pct_of_total_dogs,unique_breeds,avg_dog_age,density_rank,density_segment
Bronx,74519,1446788,51.50650959228304,10.374370561562802,428,4.6414471477072965,5.0,Medium Density
Brooklyn,194153,2648452,73.30810601815702,27.029551760478576,699,4.610611218987088,3.0,Medium Density
Manhattan,241353,1638281,147.32088085011057,33.60063149189961,855,5.1245188582698376,1.0,High Density
Queens,148539,2330295,63.74257336517479,20.679271445456557,689,5.163532809565165,4.0,Medium Density
Staten Island,59735,487155,122.62011064240335,8.31617474060245,482,5.882079183058509,2.0,High Density
